cnty_fips,county_name,hd_rate,hd_range,income,income_range,lat,lon,obesity_rate,obesity_range,smoking_rate,smoking_range,65over_rate,65over_range
6001,"""Alameda, (CA)""",214,52.7 - 283.1 (647),108000,"""$64,000 - $152,000 (625)""",37.647139,-121.912488,22,11.0 - 28.6 (634),11.3,6.9 - 16.9 (649),13.5,3.2 - 15.2 (656)
1001,"""Autauga, (AL)""",381.2,361.0 - 416.0 (643),58000,"""$56,000 - $64,000 (626)""",32.532237,-86.64644,32.7,32.3 - 35.1 (629),19.4,18.9 - 20.9 (639),15,3.2 - 15.2 (656)
6005,"""Amador, (CA)""",300,283.2 - 322.1 (641),63000,"""$56,000 - $64,000 (626)""",38.443549,-120.653858,29.8,28.7 - 32.2 (638),14.6,6.9 - 16.9 (649),26.7,22.1 - 56.7 (636)
6007,"""Butte, (CA)""",333.9,322.2 - 360.9 (645),58000,"""$56,000 - $64,000 (626)""",39.665336,-121.603209,30.3,28.7 - 32.2 (638),15.3,6.9 - 16.9 (649),18,17.6 - 19.4 (617)
6009,"""Calaveras, (CA)""",297.1,283.2 - 322.1 (641),68000,"""$64,000 - $152,000 (625)""",38.191068,-120.554107,28.1,11.0 - 28.6 (634),13.9,6.9 - 16.9 (649),27.5,22.1 - 56.7 (636)
6011,"""Colusa, (CA)""",302.3,283.2 - 322.1 (641),59000,"""$56,000 - $64,000 (626)""",39.177739,-122.237563,38.8,38.3 - 58.9 (619),15.3,6.9 - 16.9 (649),14.4,3.2 - 15.2 (656)
1003,"""Baldwin, (AL)""",366.1,361.0 - 416.0 (643),60000,"""$56,000 - $64,000 (626)""",30.659218,-87.746067,30.1,28.7 - 32.2 (638),17.5,17.0 - 18.8 (619),20,19.5 - 22.0 (652)
6013,"""Contra Costa, (CA)""",206.8,52.7 - 283.1 (647),107000,"""$64,000 - $152,000 (625)""",37.919479,-121.951543,24.9,11.0 - 28.6 (634),11,6.9 - 16.9 (649),15.4,15.3 - 17.5 (659)
6015,"""Del Norte, (CA)""",312.8,283.2 - 322.1 (641),49000,"""$44,000 - $51,000 (724)""",41.749903,-123.980998,33.9,32.3 - 35.1 (629),18.8,17.0 - 18.8 (619),17.2,15.3 - 17.5 (659)
6017,"""El Dorado, (CA)""",252.2,52.7 - 283.1 (647),86000,"""$64,000 - $152,000 (625)""",38.785612,-120.534225,25.2,11.0 - 28.6 (634),12.7,6.9 - 16.9 (649),20.5,19.5 - 22.0 (652)
6021,"""Glenn, (CA)""",327.6,322.2 - 360.9 (645),56000,"""$51,000 - $56,000 (529)""",39.602546,-122.4017,34.1,32.3 - 35.1 (629),16.6,6.9 - 16.9 (649),15.9,15.3 - 17.5 (659)
1005,"""Barbour, (AL)""",547.6,416.1 - 810.5 (644),36000,"""$25,000 - $44,000 (637)""",31.870253,-85.405104,41.2,38.3 - 58.9 (619),24.5,23.5 - 45.7 (618),18.6,17.6 - 19.4 (617)
6023,"""Humboldt, (CA)""",308.4,283.2 - 322.1 (641),51000,"""$44,000 - $51,000 (724)""",40.706655,-123.926176,24.8,11.0 - 28.6 (634),16.1,6.9 - 16.9 (649),17.3,15.3 - 17.5 (659)
6031,"""Kings, (CA)""",330.9,322.2 - 360.9 (645),57000,"""$56,000 - $64,000 (626)""",36.072478,-119.81553,34,32.3 - 35.1 (629),17.1,17.0 - 18.8 (619),10,3.2 - 15.2 (656)
6033,"""Lake, (CA)""",312.9,283.2 - 322.1 (641),47000,"""$44,000 - $51,000 (724)""",39.094802,-122.746757,22.7,11.0 - 28.6 (634),17.1,17.0 - 18.8 (619),22.3,22.1 - 56.7 (636)
6035,"""Lassen, (CA)""",339.9,322.2 - 360.9 (645),54000,"""$51,000 - $56,000 (529)""",40.715287,-120.621223,32.8,32.3 - 35.1 (629),18.5,17.0 - 18.8 (619),14.2,3.2 - 15.2 (656)
1007,"""Bibb, (AL)""",501,416.1 - 810.5 (644),48000,"""$44,000 - $51,000 (724)""",33.015893,-87.127148,37.4,35.2 - 38.2 (622),22.7,21.0 - 23.4 (617),15.9,15.3 - 17.5 (659)
6041,"""Marin, (CA)""",173.1,52.7 - 283.1 (647),112000,"""$64,000 - $152,000 (625)""",38.051367,-122.746396,17.5,11.0 - 28.6 (634),9.2,6.9 - 16.9 (649),21.6,19.5 - 22.0 (652)
6043,"""Mariposa, (CA)""",321.6,283.2 - 322.1 (641),53000,"""$51,000 - $56,000 (529)""",37.574343,-119.911721,16.1,11.0 - 28.6 (634),14.5,6.9 - 16.9 (649),27.5,22.1 - 56.7 (636)
6045,"""Mendocino, (CA)""",282.6,52.7 - 283.1 (647),52000,"""$51,000 - $56,000 (529)""",39.432388,-123.442881,30.5,28.7 - 32.2 (638),15.8,6.9 - 16.9 (649),21.2,19.5 - 22.0 (652)
6047,"""Merced, (CA)""",302,283.2 - 322.1 (641),60000,"""$56,000 - $64,000 (626)""",37.194806,-120.722802,33.4,32.3 - 35.1 (629),16.3,6.9 - 16.9 (649),11,3.2 - 15.2 (656)
1009,"""Blount, (AL)""",435,416.1 - 810.5 (644),53000,"""$51,000 - $56,000 (529)""",33.977358,-86.56644,32.5,32.3 - 35.1 (629),22.1,21.0 - 23.4 (617),17.9,17.6 - 19.4 (617)
6049,"""Modoc, (CA)""",343.7,322.2 - 360.9 (645),45000,"""$44,000 - $51,000 (724)""",41.592918,-120.71837,26.1,11.0 - 28.6 (634),17,17.0 - 18.8 (619),27,22.1 - 56.7 (636)
6053,"""Monterey, (CA)""",213.2,52.7 - 283.1 (647),77000,"""$64,000 - $152,000 (625)""",36.240104,-121.315578,24.8,11.0 - 28.6 (634),13.6,6.9 - 16.9 (649),13.2,3.2 - 15.2 (656)
6055,"""Napa, (CA)""",257,52.7 - 283.1 (647),90000,"""$64,000 - $152,000 (625)""",38.5071,-122.325904,23.7,11.0 - 28.6 (634),11.8,6.9 - 16.9 (649),18.6,17.6 - 19.4 (617)
6057,"""Nevada, (CA)""",264.2,52.7 - 283.1 (647),70000,"""$64,000 - $152,000 (625)""",39.297508,-120.771343,18.1,11.0 - 28.6 (634),12.5,6.9 - 16.9 (649),26.5,22.1 - 56.7 (636)
1011,"""Bullock, (AL)""",445.4,416.1 - 810.5 (644),32000,"""$25,000 - $44,000 (637)""",32.101759,-85.717261,46.4,38.3 - 58.9 (619),24.4,23.5 - 45.7 (618),16,15.3 - 17.5 (659)
6061,"""Placer, (CA)""",242.2,52.7 - 283.1 (647),98000,"""$64,000 - $152,000 (625)""",39.062032,-120.722718,20.2,11.0 - 28.6 (634),11.1,6.9 - 16.9 (649),19.1,17.6 - 19.4 (617)
6063,"""Plumas, (CA)""",328.4,322.2 - 360.9 (645),59000,"""$56,000 - $64,000 (626)""",39.992295,-120.824371,23.8,11.0 - 28.6 (634),14,6.9 - 16.9 (649),27.1,22.1 - 56.7 (636)
6067,"""Sacramento, (CA)""",288.2,283.2 - 322.1 (641),72000,"""$64,000 - $152,000 (625)""",38.450136,-121.344329,29.7,28.7 - 32.2 (638),14,6.9 - 16.9 (649),13.7,3.2 - 15.2 (656)
6069,"""San Benito, (CA)""",234.2,52.7 - 283.1 (647),84000,"""$64,000 - $152,000 (625)""",36.611651,-121.085811,35.4,35.2 - 38.2 (622),13.1,6.9 - 16.9 (649),12.5,3.2 - 15.2 (656)
1013,"""Butler, (AL)""",412.9,361.0 - 416.0 (643),40000,"""$25,000 - $44,000 (637)""",31.751667,-86.681969,47.3,38.3 - 58.9 (619),21.4,21.0 - 23.4 (617),19.7,19.5 - 22.0 (652)
6075,"""San Francisco, (CA)""",210.9,52.7 - 283.1 (647),122000,"""$64,000 - $152,000 (625)""",37.727239,-123.032229,17,11.0 - 28.6 (634),11.7,6.9 - 16.9 (649),15.4,15.3 - 17.5 (659)
6077,"""San Joaquin, (CA)""",297.8,283.2 - 322.1 (641),68000,"""$64,000 - $152,000 (625)""",37.934982,-121.272244,35.3,35.2 - 38.2 (622),14.8,6.9 - 16.9 (649),12.5,3.2 - 15.2 (656)
6079,"""San Luis Obispo, (CA)""",234.1,52.7 - 283.1 (647),77000,"""$64,000 - $152,000 (625)""",35.388189,-120.448897,28.5,11.0 - 28.6 (634),12.4,6.9 - 16.9 (649),19.4,17.6 - 19.4 (617)
6081,"""San Mateo, (CA)""",208.9,52.7 - 283.1 (647),135000,"""$64,000 - $152,000 (625)""",37.414672,-122.371546,22.6,11.0 - 28.6 (634),10.1,6.9 - 16.9 (649),15.8,15.3 - 17.5 (659)
1015,"""Calhoun, (AL)""",589.4,416.1 - 810.5 (644),48000,"""$44,000 - $51,000 (724)""",33.770516,-85.827909,39.7,38.3 - 58.9 (619),20.4,18.9 - 20.9 (639),17.2,15.3 - 17.5 (659)
6083,"""Santa Barbara, (CA)""",259.6,52.7 - 283.1 (647),75000,"""$64,000 - $152,000 (625)""",34.536677,-120.038364,24.1,11.0 - 28.6 (634),12.6,6.9 - 16.9 (649),15,3.2 - 15.2 (656)
6085,"""Santa Clara, (CA)""",184.3,52.7 - 283.1 (647),132000,"""$64,000 - $152,000 (625)""",37.221614,-121.68954,19.7,11.0 - 28.6 (634),9.7,6.9 - 16.9 (649),13.2,3.2 - 15.2 (656)
6087,"""Santa Cruz, (CA)""",209.2,52.7 - 283.1 (647),86000,"""$64,000 - $152,000 (625)""",37.012347,-122.007789,19,11.0 - 28.6 (634),12,6.9 - 16.9 (649),15.8,15.3 - 17.5 (659)
6089,"""Shasta, (CA)""",375.8,361.0 - 416.0 (643),61000,"""$56,000 - $64,000 (626)""",40.760514,-122.043556,26.4,11.0 - 28.6 (634),16.1,6.9 - 16.9 (649),20.2,19.5 - 22.0 (652)
1017,"""Chambers, (AL)""",354.7,322.2 - 360.9 (645),42000,"""$25,000 - $44,000 (637)""",32.915504,-85.394032,42,38.3 - 58.9 (619),22,21.0 - 23.4 (617),19.2,17.6 - 19.4 (617)
